job_name,company,location,department,easy_apply,remote,salary,urgently_hiring,company_rating
DATA ENGINEER (F/H) / Freelance,IZYFREE,Lille,59,False,False,null,False,null
Data Analyst BI en alternance H/F,Cr�dit Agricole Brie Picardie,Meaux,77,False,False,null,False,3.9
Data Scientist Expert (H/F),ALTERSIS,Marseille,13,False,False,40 000 � - 50 000 � par an,False,null
R&D ENGINEER - MAPA SPONTEX,Newell Brands,France,unknown,False,False,null,False,3.5
Data Engineer,Lunchr,Paris,75,False,False,null,False,null
LEAD DATA ENGINEER,Happn,Paris,75,False,False,null,False,null
Data Engineer (H/F) / Freelance,Espace Freelance,Villeneuve-d'Ascq,59,False,False,null,False,null
Data Steward / Data Engineer H/F,Well&Wiz,Paris 1er,75,True,False,null,False,null
MANUFACTURING QUALITY & DATA ENGINEER,Scortex,Paris,75,False,False,null,False,null
Data Engineer,Shippeo,Paris 10e,75,True,False,null,False,null
DATA ENGINEER (H/F),Epsilon France,Paris,75,False,False,null,False,4.0
Stage R&D - Data Engineer / Internship Data Engineer (H/F),Stago,Gennevilliers,92,False,False,null,False,3.8
DATA ENGINEER H/F,Groupe AFG,Lille,59,False,False,null,False,null
Data Engineer - Education,Sept Lieues,Paris,75,False,False,45 000 � - 65 000 � par an,False,null
CDI � Data Engineer (F/H),Groupe CANAL+,Issy-les-Moulineaux,92,False,False,null,False,3.5
R&D and innovation,Legrand Nederland,Limoges,87,False,False,null,False,null
Data Scientist/Machine Learning Engineer,Data Recrutement,Paris,75,True,False,50 000 � - 70 000 � par an,False,null
Data Scientist,Pernod Ricard,Paris,75,False,False,null,False,4.2
Data Engineer Python SQL - F/H,Verduron,Paris 8e,75,False,False,null,False,null
Alternant Business Development/Marketing Data Science,Sia Partners,Paris 8e,75,True,False,null,False,3.8
Data Engineer / Data Architect Flux Vision F/H,Orange,Belfort,90,False,False,null,False,4.1
Data Engineer Python SQL � H/F,Verduron,Paris,75,True,False,null,False,null
Data Engineer - Commerce,Sept Lieues,Paris,75,False,False,null,False,null
Role of PML NBs in chromatin dynamics in response to DNA dam...,Institut NeuroMyoG�ne,Lyon,69,False,False,null,False,null
YACHT PROJECT ENGINEER,Palmer Johnson,Monaco,6,False,False,null,False,null
Data Engineer - Neobrain,Breega,Paris 9e,75,True,False,null,False,null
Software Data Engineer (H/F),Thales Group,Toulouse,31,False,False,null,False,4.0
Data Engineer H/F,Betclic Group,Bordeaux,33,True,False,null,False,4.7
D�veloppeur Python / Data scientist H/F � CDI - H/F,POLYCONSEIL,Paris 8e,75,False,False,48 000 � par an,False,null
Data Engineer GCP,Lab5com,Boulogne-Billancourt,92,False,False,50 000 � par an,False,null
Digital Release Train Engineer H/F,PSAPeugeotCitroen,Poissy,78,False,False,null,False,4.0
CAD Designer / Piping Work Preparator,Jacobs,France,unknown,False,False,null,False,3.9
Research - Singing voice style transfer (Internship),Deezer,Paris,75,False,False,null,False,3.9
DATA ENGINEER,Interstellar Lab,Paris,75,False,False,null,False,null
Data engineer F/H,SCIENT,Paris 1er,75,False,False,null,False,null
Data Scientist,Pernod Ricard Austria,Paris,75,False,False,null,False,4.2
Data Engineer F/H,MARGO CONSEIL,Paris 8e,75,False,False,null,False,null
